index,filename,width,height,mse,psnr,error
0,12290.png,1280,720,9409.1669921875,8.395292282104492,
1,12324.png,1280,720,6226.7646484375,10.188179969787598,
2,12348.png,1280,720,7679.69873046875,9.277361869812012,
3,716_img_.png,828,621,7271.4765625,9.514577865600586,
4,455_img_.png,1000,803,5740.001953125,10.541683197021484,
5,265_img_.png,640,480,1463.707763671875,16.476259231567383,
6,670_img_.png,828,621,998.0667114257812,18.13920783996582,
7,415_img_.png,1200,747,1425.7137451171875,16.59048080444336,
8,768_img_.png,1000,512,1395.213623046875,16.684396743774414,
9,601_img_.png,500,375,2851.228759765625,13.580483436584473,
10,404_img_.png,550,414,1689.4051513671875,15.853464126586914,
11,820_img_.png,828,567,377.10467529296875,22.36618423461914,
12,916_img_.png,500,375,1442.7706298828125,16.53883171081543,
13,690_img_.png,1800,1350,6070.79833984375,10.298345565795898,
14,666_img_.png,828,621,2690.234619140625,13.832902908325195,
15,11052.png,640,360,1111.4776611328125,17.671796798706055,
16,12445.png,1280,670,1327.369384765625,16.90088653564453,
17,389_img_.png,1280,720,3372.580078125,12.851181030273438,
18,563.png,1280,720,1597.776611328125,16.09564208984375,
19,10151.png,640,360,1513.809814453125,16.33009147644043,
20,613_img_.png,500,375,1274.69970703125,17.076725006103516,
21,567_img_.png,500,333,1108.431884765625,17.683713912963867,
22,5818.png,640,480,902.7940673828125,18.574918746948242,
23,841_img_.png,2180,1447,2515.24462890625,14.125001907348633,
24,2787.png,1280,720,1781.67919921875,15.622509002685547,
25,15001.png,1280,720,603.744140625,20.322275161743164,
26,99_img_.png,1200,752,1033.7901611328125,17.986480712890625,
27,244_img_.png,500,257,1257.7685546875,17.134796142578125,
28,332_img_.png,275,183,1249.9730224609375,17.16179656982422,
29,700_img_.png,1000,700,534.4953002929688,20.85136604309082,
30,413_img_.png,640,480,3136.26513671875,13.16667652130127,
31,337_img_.png,276,183,1032.72216796875,17.990968704223633,
32,365_img_.png,1200,753,2686.85009765625,13.838369369506836,
33,722_img_.png,1280,905,331.53460693359375,22.925514221191406,
34,62_img_.png,1024,768,5050.306640625,11.097626686096191,
35,469_img_.png,1024,682,1990.5836181640625,15.140999794006348,
36,921_img_.png,500,319,435.4534912109375,21.74138832092285,
37,381_img_.png,700,524,4206.994140625,11.891084671020508,
38,240_img_.png,2048,1305,317.4434814453125,23.114139556884766,
39,271_img_.png,640,480,1292.0,17.018178939819336,
40,29_img_.png,1200,732,203.70375061035156,25.040815353393555,
41,392_img_.png,1280,857,2490.00927734375,14.168795585632324,
42,78_img_.png,809,1150,2349.909912109375,14.42029094696045,
43,360_img_.png,259,194,2394.006591796875,14.339550018310547,
44,405_img_.png,640,480,5922.26806640625,10.405922889709473,
45,757_img_.png,1632,1169,786.2064208984375,19.175437927246094,
46,202_img_.png,550,412,3137.308837890625,13.165230751037598,
47,851_img_.png,450,600,575.6984252929688,20.528852462768555,
48,230_img_.png,640,480,513.3896484375,21.026334762573242,
49,3650.png,1280,720,1390.55810546875,16.69891357421875,
